@relation titanic

@attribute class {1st,2nd,3rd,crew}
@attribute age numeric
@attribute sex {male,female}
@attribute survived {yes,no}

@data
1st,53,female,yes
1st,46,female,yes
1st,59,female,yes
1st,68,female,yes
1st,77,female,yes
1st,49,female,yes
1st,74,female,yes
1st,71,female,yes
1st,72,female,yes
1st,62,female,yes
1st,79,female,yes
1st,43,female,yes
1st,71,female,yes
1st,61,female,yes
1st,54,female,yes
1st,37,female,yes
1st,79,female,yes
1st,54,female,yes
1st,37,female,yes
1st,63,female,yes
1st,56,female,yes
1st,63,female,yes
1st,45,female,yes
1st,83,female,yes
1st,65,female,yes
1st,41,female,yes
1st,74,female,yes
1st,82,female,yes
1st,45,female,yes
1st,39,female,yes
1st,49,female,yes
1st,36,female,yes
1st,58,female,yes
1st,40,female,yes
1st,60,female,yes
1st,73,female,yes
1st,68,female,yes
1st,58,female,yes
1st,68,female,yes
1st,57,female,yes
1st,55,female,yes
1st,80,female,yes
1st,46,female,yes
1st,36,female,yes
1st,58,female,yes
1st,61,female,yes
1st,69,female,yes
1st,81,female,yes
1st,66,female,yes
1st,58,female,yes
1st,48,female,yes
1st,69,female,yes
1st,83,female,yes
1st,70,female,yes
1st,81,female,yes
1st,66,female,yes
1st,66,female,yes
1st,38,female,yes
1st,44,female,yes
1st,37,female,yes
1st,68,female,yes
1st,46,female,yes
1st,56,female,yes
1st,66,female,yes
1st,56,female,yes
1st,36,female,yes
1st,50,female,yes
1st,83,female,yes
1st,76,female,yes
1st,54,female,yes
1st,81,female,yes
1st,66,female,yes
1st,54,female,yes
1st,46,female,yes
1st,48,female,yes
1st,79,female,yes
1st,41,female,no
1st,78,female,no
1st,46,female,no
1st,40,female,no
1st,14,male,yes
1st,2,male,yes
1st,1,male,yes
1st,12,male,yes
1st,1,male,yes
1st,5,female,yes
2nd,42,male,yes
2nd,60,male,yes
2nd,78,male,yes
2nd,53,male,yes
2nd,78,male,yes
2nd,60,male,yes
2nd,81,male,yes
2nd,74,male,yes
2nd,39,male,yes
2nd,71,male,yes
2nd,56,male,yes
2nd,58,male,yes
2nd,39,male,yes
2nd,70,male,yes
2nd,53,male,no
2nd,77,male,no
2nd,49,male,no
2nd,56,male,no
2nd,51,male,no
2nd,73,male,no
2nd,74,male,no
2nd,61,male,no
2nd,45,male,no
2nd,73,male,no
2nd,50,male,no
2nd,49,male,no
2nd,57,male,no
2nd,82,male,no
2nd,50,male,no
2nd,83,male,no
2nd,80,male,no
2nd,76,male,no
2nd,81,male,no
2nd,55,male,no
2nd,56,male,no
2nd,55,male,no
2nd,65,male,no
2nd,69,male,no
2nd,65,male,no
2nd,69,male,no
2nd,57,male,no
2nd,78,male,no
2nd,36,male,no
2nd,68,male,no
2nd,47,male,no
2nd,53,male,no
2nd,45,male,no
2nd,70,male,no
2nd,75,male,no
2nd,69,male,no
2nd,63,male,no
2nd,45,male,no
2nd,51,male,no
2nd,69,male,no
2nd,54,male,no
2nd,59,male,no
2nd,67,male,no
2nd,39,male,no
2nd,73,male,no
2nd,66,male,no
2nd,61,male,no
2nd,67,male,no
2nd,73,male,no
2nd,47,male,no
2nd,53,male,no
2nd,77,male,no
2nd,61,male,no
2nd,44,male,no
2nd,40,male,no
2nd,43,male,no
2nd,52,male,no
2nd,69,male,no
2nd,55,male,no
2nd,65,male,no
2nd,45,male,no
2nd,53,male,no
2nd,65,male,no
2nd,71,male,no
2nd,77,male,no
2nd,63,male,no
2nd,70,male,no
2nd,52,male,no
2nd,72,male,no
2nd,67,male,no
2nd,52,male,no
2nd,72,male,no
2nd,70,male,no
2nd,48,male,no
2nd,66,male,no
2nd,48,male,no
2nd,70,male,no
2nd,38,male,no
2nd,76,male,no
2nd,71,male,no
2nd,82,male,no
2nd,50,male,no
2nd,54,male,no
2nd,53,male,no
2nd,61,male,no
2nd,44,male,no
2nd,43,male,no
2nd,63,male,no
2nd,64,male,no
2nd,50,male,no
2nd,52,male,no
2nd,37,male,no
2nd,45,male,no
2nd,80,male,no
2nd,36,male,no
2nd,77,male,no
2nd,49,male,no
2nd,39,male,no
2nd,72,male,no
2nd,59,male,no
2nd,73,male,no
2nd,69,male,no
2nd,48,male,no
2nd,46,male,no
2nd,50,male,no
2nd,46,male,no
2nd,67,male,no
2nd,62,male,no
2nd,49,male,no
2nd,69,male,no
2nd,54,male,no
2nd,77,male,no
2nd,64,male,no
2nd,42,male,no
2nd,59,male,no
2nd,77,male,no
2nd,52,male,no
2nd,83,male,no
2nd,70,male,no
2nd,78,male,no
2nd,49,male,no
2nd,78,male,no
2nd,55,male,no
2nd,53,male,no
2nd,50,male,no
2nd,65,male,no
2nd,55,male,no
2nd,82,male,no
2nd,47,male,no
2nd,65,male,no
2nd,47,male,no
2nd,50,male,no
2nd,51,male,no
2nd,83,male,no
2nd,75,male,no
2nd,58,male,no
2nd,73,male,no
2nd,40,male,no
2nd,65,male,no
2nd,69,male,no
2nd,43,male,no
2nd,40,male,no
2nd,64,male,no
2nd,73,male,no
2nd,67,male,no
2nd,49,male,no
2nd,80,male,no
2nd,53,male,no
2nd,69,male,no
2nd,67,male,no
2nd,68,male,no
2nd,47,male,no
2nd,50,male,no
2nd,72,male,no
2nd,52,female,yes
2nd,49,female,yes
2nd,39,female,yes
2nd,80,female,yes
2nd,79,female,yes
2nd,56,female,yes
2nd,78,female,yes
2nd,40,female,yes
2nd,51,female,yes
2nd,69,female,yes
2nd,48,female,yes
2nd,57,female,yes
2nd,81,female,yes
2nd,69,female,yes
2nd,56,female,yes
2nd,40,female,yes
2nd,75,female,yes
2nd,42,female,yes
2nd,50,female,yes
2nd,38,female,yes
2nd,38,female,yes
2nd,64,female,yes
2nd,50,female,yes
2nd,81,female,yes
2nd,56,female,yes
2nd,63,female,yes
2nd,43,female,yes
2nd,42,female,yes
2nd,80,female,yes
2nd,50,female,yes
2nd,63,female,yes
2nd,40,female,yes
2nd,38,female,yes
2nd,41,female,yes
2nd,54,female,yes
2nd,63,female,yes
2nd,46,female,yes
2nd,43,female,yes
2nd,61,female,yes
2nd,76,female,yes
2nd,74,female,yes
2nd,53,female,yes
2nd,47,female,yes
2nd,76,female,yes
2nd,59,female,yes
2nd,57,female,yes
2nd,52,female,yes
2nd,68,female,yes
2nd,61,female,yes
2nd,70,female,yes
2nd,53,female,yes
2nd,62,female,yes
2nd,59,female,yes
2nd,43,female,yes
2nd,74,female,yes
2nd,48,female,yes
2nd,77,female,yes
2nd,56,female,yes
2nd,43,female,yes
2nd,71,female,yes
2nd,53,female,yes
2nd,79,female,yes
2nd,77,female,yes
2nd,57,female,yes
2nd,55,female,yes
2nd,67,female,yes
2nd,43,female,yes
2nd,41,female,yes
2nd,72,female,yes
2nd,49,female,yes
2nd,81,female,yes
2nd,61,female,yes
2nd,47,female,yes
2nd,80,female,yes
2nd,52,female,yes
2nd,48,female,yes
2nd,39,female,yes
2nd,62,female,yes
2nd,75,female,yes
2nd,74,female,yes
2nd,80,female,no
2nd,45,female,no
2nd,68,female,no
2nd,54,female,no
2nd,69,female,no
2nd,50,female,no
2nd,40,female,no
2nd,41,female,no
2nd,37,female,no
2nd,55,female,no
2nd,67,female,no
2nd,83,female,no
2nd,63,female,no
2nd,17,male,yes
2nd,13,male,yes
2nd,1,male,yes
2nd,16,male,yes
2nd,9,male,yes
2nd,10,male,yes
2nd,3,male,yes
2nd,9,male,yes
2nd,10,male,yes
2nd,9,male,yes
2nd,3,male,yes
2nd,4,female,yes
2nd,10,female,yes
2nd,7,female,yes
2nd,13,female,yes
2nd,2,female,yes
2nd,12,female,yes
2nd,15,female,yes
2nd,16,female,yes
2nd,10,female,yes
2nd,5,female,yes
2nd,2,female,yes
2nd,6,female,yes
2nd,13,female,yes
3rd,56,male,yes
3rd,39,male,yes
3rd,46,male,yes
3rd,75,male,yes
3rd,70,male,yes
3rd,78,male,yes
3rd,41,male,yes
3rd,48,male,yes
3rd,43,male,yes
3rd,71,male,yes
3rd,81,male,yes
3rd,49,male,yes
3rd,74,male,yes
3rd,49,male,yes
3rd,74,male,yes
3rd,40,male,yes
3rd,38,male,yes
3rd,40,male,yes
3rd,52,male,yes
3rd,42,male,yes
3rd,49,male,yes
3rd,76,male,yes
3rd,63,male,yes
3rd,82,male,yes
3rd,52,male,yes
3rd,49,male,yes
3rd,75,male,yes
3rd,40,male,yes
3rd,44,male,yes
3rd,40,male,yes
3rd,79,male,yes
3rd,72,male,yes
3rd,61,male,yes
3rd,41,male,yes
3rd,49,male,yes
3rd,49,male,yes
3rd,71,male,yes
3rd,47,male,yes
3rd,63,male,yes
3rd,59,male,yes
3rd,52,male,yes
3rd,76,male,yes
3rd,63,male,yes
3rd,80,male,yes
3rd,67,male,yes
3rd,39,male,yes
3rd,49,male,yes
3rd,80,male,yes
3rd,62,male,yes
3rd,53,male,yes
3rd,77,male,yes
3rd,72,male,yes
3rd,52,male,yes
3rd,79,male,yes
3rd,60,male,yes
3rd,71,male,yes
3rd,64,male,yes
3rd,67,male,yes
3rd,53,male,yes
3rd,82,male,yes
3rd,50,male,yes
3rd,45,male,yes
3rd,38,male,yes
3rd,55,male,yes
3rd,82,male,yes
3rd,55,male,yes
3rd,73,male,yes
3rd,57,male,yes
3rd,58,male,yes
3rd,51,male,yes
3rd,56,male,yes
3rd,79,male,yes
3rd,48,male,yes
3rd,66,male,yes
3rd,42,male,yes
3rd,75,male,no
3rd,63,male,no
3rd,44,male,no
3rd,40,male,no
3rd,52,male,no
3rd,62,male,no
3rd,59,male,no
3rd,45,male,no
3rd,43,male,no
3rd,59,male,no
3rd,45,male,no
3rd,74,male,no
3rd,63,male,no
3rd,52,male,no
3rd,55,male,no
3rd,72,male,no
3rd,76,male,no
3rd,65,male,no
3rd,68,male,no
3rd,51,male,no
3rd,72,male,no
3rd,71,male,no
3rd,61,male,no
3rd,37,male,no
3rd,74,male,no
3rd,71,male,no
3rd,38,male,no
3rd,61,male,no
3rd,54,male,no
3rd,63,male,no
3rd,76,male,no
3rd,39,male,no
3rd,70,male,no
3rd,72,male,no
3rd,83,male,no
3rd,54,male,no
3rd,75,male,no
3rd,66,male,no
3rd,55,male,no
3rd,75,male,no
3rd,76,male,no
3rd,68,male,no
3rd,72,male,no
3rd,65,male,no
3rd,70,male,no
3rd,37,male,no
3rd,52,male,no
3rd,41,male,no
3rd,55,male,no
3rd,54,male,no
3rd,46,male,no
3rd,45,male,no
3rd,65,male,no
3rd,67,male,no
3rd,45,male,no
3rd,37,male,no
3rd,62,male,no
3rd,58,male,no
3rd,71,male,no
3rd,41,male,no
3rd,44,male,no
3rd,65,male,no
3rd,37,male,no
3rd,54,male,no
3rd,74,male,no
3rd,48,male,no
3rd,49,male,no
3rd,71,male,no
3rd,40,male,no
3rd,69,male,no
3rd,61,male,no
3rd,47,male,no
3rd,75,male,no
3rd,65,male,no
3rd,44,male,no
3rd,60,male,no
3rd,57,male,no
3rd,71,male,no
3rd,66,male,no
3rd,66,male,no
3rd,66,male,no
3rd,62,male,no
3rd,55,male,no
3rd,65,male,no
3rd,53,male,no
3rd,48,male,no
3rd,75,male,no
3rd,68,male,no
3rd,38,male,no
3rd,59,male,no
3rd,52,male,no
3rd,49,male,no
3rd,65,male,no
3rd,80,male,no
3rd,83,male,no
3rd,58,male,no
3rd,51,male,no
3rd,63,male,no
3rd,63,male,no
3rd,77,male,no
3rd,39,male,no
3rd,61,male,no
3rd,81,male,no
3rd,43,male,no
3rd,46,male,no
3rd,51,male,no
3rd,71,male,no
3rd,36,male,no
3rd,77,male,no
3rd,68,male,no
3rd,80,male,no
3rd,61,male,no
3rd,39,male,no
3rd,72,male,no
3rd,39,male,no
3rd,38,male,no
3rd,45,male,no
3rd,38,male,no
3rd,41,male,no
3rd,39,male,no
3rd,38,male,no
3rd,53,male,no
3rd,60,male,no
3rd,59,male,no
3rd,61,male,no
3rd,70,male,no
3rd,44,male,no
3rd,41,male,no
3rd,44,male,no
3rd,52,male,no
3rd,45,male,no
3rd,80,male,no
3rd,69,male,no
3rd,61,male,no
3rd,51,male,no
3rd,53,male,no
3rd,40,male,no
3rd,38,male,no
3rd,79,male,no
3rd,75,male,no
3rd,48,male,no
3rd,83,male,no
3rd,54,male,no
3rd,51,male,no
3rd,61,male,no
3rd,36,male,no
3rd,67,male,no
3rd,61,male,no
3rd,54,male,no
3rd,36,male,no
3rd,57,male,no
3rd,69,male,no
3rd,61,male,no
3rd,44,male,no
3rd,69,male,no
3rd,36,male,no
3rd,65,male,no
3rd,58,male,no
3rd,59,male,no
3rd,47,male,no
3rd,40,male,no
3rd,47,male,no
3rd,80,male,no
3rd,43,male,no
3rd,79,male,no
3rd,76,male,no
3rd,42,male,no
3rd,57,male,no
3rd,39,male,no
3rd,62,male,no
3rd,46,male,no
3rd,61,male,no
3rd,66,male,no
3rd,77,male,no
3rd,71,male,no
3rd,80,male,no
3rd,58,male,no
3rd,60,male,no
3rd,82,male,no
3rd,58,male,no
3rd,81,male,no
3rd,67,male,no
3rd,37,male,no
3rd,65,male,no
3rd,48,male,no
3rd,39,male,no
3rd,56,male,no
3rd,50,male,no
3rd,51,male,no
3rd,77,male,no
3rd,64,male,no
3rd,69,male,no
3rd,78,male,no
3rd,48,male,no
3rd,51,male,no
3rd,76,male,no
3rd,38,male,no
3rd,82,male,no
3rd,68,male,no
3rd,37,male,no
3rd,80,male,no
3rd,83,male,no
3rd,45,male,no
3rd,79,male,no
3rd,54,male,no
3rd,75,male,no
3rd,43,male,no
3rd,37,male,no
3rd,50,male,no
3rd,55,male,no
3rd,37,male,no
3rd,45,male,no
3rd,66,male,no
3rd,57,male,no
3rd,62,male,no
3rd,42,male,no
3rd,60,male,no
3rd,59,male,no
3rd,61,male,no
3rd,69,male,no
3rd,40,male,no
3rd,66,male,no
3rd,75,male,no
3rd,68,male,no
3rd,60,male,no
3rd,59,male,no
3rd,78,male,no
3rd,42,male,no
3rd,49,male,no
3rd,64,male,no
3rd,75,male,no
3rd,76,male,no
3rd,83,male,no
3rd,39,male,no
3rd,44,male,no
3rd,62,male,no
3rd,37,male,no
3rd,47,male,no
3rd,57,male,no
3rd,83,male,no
3rd,65,male,no
3rd,68,male,no
3rd,71,male,no
3rd,78,male,no
3rd,81,male,no
3rd,53,male,no
3rd,39,male,no
3rd,51,male,no
3rd,73,male,no
3rd,54,male,no
3rd,74,male,no
3rd,75,male,no
3rd,69,male,no
3rd,64,male,no
3rd,66,male,no
3rd,70,male,no
3rd,65,male,no
3rd,73,male,no
3rd,46,male,no
3rd,72,male,no
3rd,73,male,no
3rd,41,male,no
3rd,61,male,no
3rd,59,male,no
3rd,80,male,no
3rd,68,male,no
3rd,57,male,no
3rd,56,male,no
3rd,42,male,no
3rd,58,male,no
3rd,63,male,no
3rd,63,male,no
3rd,63,male,no
3rd,45,male,no
3rd,48,male,no
3rd,53,male,no
3rd,68,male,no
3rd,39,male,no
3rd,42,male,no
3rd,63,male,no
3rd,39,male,no
3rd,81,male,no
3rd,57,male,no
3rd,55,male,no
3rd,68,male,no
3rd,39,male,no
3rd,53,male,no
3rd,36,male,no
3rd,71,male,no
3rd,73,male,no
3rd,56,male,no
3rd,54,male,no
3rd,58,male,no
3rd,36,male,no
3rd,81,male,no
3rd,55,male,no
3rd,44,male,no
3rd,78,male,no
3rd,72,male,no
3rd,58,male,no
3rd,49,male,no
3rd,53,male,no
3rd,40,male,no
3rd,53,male,no
3rd,78,male,no
3rd,68,male,no
3rd,58,male,no
3rd,72,male,no
3rd,42,male,no
3rd,75,male,no
3rd,63,male,no
3rd,65,male,no
3rd,61,male,no
3rd,44,male,no
3rd,76,male,no
3rd,71,male,no
3rd,55,male,no
3rd,37,male,no
3rd,63,male,no
3rd,46,male,no
3rd,62,male,no
3rd,38,male,no
3rd,57,male,no
3rd,47,male,no
3rd,80,male,no
3rd,61,male,no
3rd,43,male,no
3rd,55,male,no
3rd,71,male,no
3rd,38,male,no
3rd,58,male,no
3rd,82,male,no
3rd,37,male,no
3rd,69,male,no
3rd,55,male,no
3rd,52,male,no
3rd,70,male,no
3rd,83,male,no
3rd,58,male,no
3rd,74,male,no
3rd,78,male,no
3rd,48,male,no
3rd,61,male,no
3rd,44,male,no
3rd,40,male,no
3rd,38,male,no
3rd,39,male,no
3rd,79,male,no
3rd,79,male,no
3rd,74,male,no
3rd,61,male,no
3rd,43,male,no
3rd,38,male,no
3rd,82,male,no
3rd,39,male,no
3rd,70,male,no
3rd,62,male,no
3rd,56,male,no
3rd,76,male,no
3rd,52,male,no
3rd,36,male,no
3rd,77,male,no
3rd,44,male,no
3rd,66,male,no
3rd,48,male,no
3rd,77,male,no
3rd,54,male,no
3rd,60,male,no
3rd,54,male,no
3rd,37,male,no
3rd,66,male,no
3rd,38,male,no
3rd,62,male,no
3rd,80,male,no
3rd,71,male,no
3rd,58,male,no
3rd,55,male,no
3rd,42,male,no
3rd,78,male,no
3rd,52,male,no
3rd,50,male,no
3rd,42,male,no
3rd,58,male,no
3rd,53,male,no
3rd,71,male,no
3rd,83,male,no
3rd,75,male,no
3rd,52,female,yes
3rd,59,female,yes
3rd,74,female,yes
3rd,81,female,yes
3rd,61,female,yes
3rd,54,female,yes
3rd,45,female,yes
3rd,52,female,yes
3rd,39,female,yes
3rd,59,female,yes
3rd,69,female,yes
3rd,80,female,yes
3rd,78,female,yes
3rd,36,female,yes
3rd,47,female,yes
3rd,36,female,yes
3rd,47,female,yes
3rd,62,female,yes
3rd,50,female,yes
3rd,68,female,yes
3rd,74,female,yes
3rd,77,female,yes
3rd,58,female,yes
3rd,76,female,yes
3rd,48,female,yes
3rd,44,female,yes
3rd,80,female,yes
3rd,39,female,yes
3rd,38,female,yes
3rd,76,female,yes
3rd,62,female,yes
3rd,48,female,yes
3rd,61,female,yes
3rd,73,female,yes
3rd,61,female,yes
3rd,54,female,yes
3rd,77,female,yes
3rd,59,female,yes
3rd,54,female,yes
3rd,49,female,yes
3rd,50,female,yes
3rd,71,female,yes
3rd,63,female,yes
3rd,79,female,yes
3rd,49,female,yes
3rd,58,female,yes
3rd,47,female,yes
3rd,57,female,yes
3rd,80,female,yes
3rd,66,female,yes
3rd,77,female,yes
3rd,51,female,yes
3rd,80,female,yes
3rd,42,female,yes
3rd,58,female,yes
3rd,72,female,yes
3rd,39,female,yes
3rd,49,female,yes
3rd,36,female,yes
3rd,80,female,yes
3rd,68,female,yes
3rd,49,female,yes
3rd,74,female,yes
3rd,68,female,yes
3rd,60,female,yes
3rd,58,female,yes
3rd,73,female,yes
3rd,76,female,yes
3rd,47,female,yes
3rd,73,female,yes
3rd,40,female,yes
3rd,38,female,yes
3rd,46,female,yes
3rd,42,female,yes
3rd,80,female,yes
3rd,37,female,yes
3rd,67,female,no
3rd,63,female,no
3rd,40,female,no
3rd,81,female,no
3rd,55,female,no
3rd,76,female,no
3rd,51,female,no
3rd,38,female,no
3rd,68,female,no
3rd,76,female,no
3rd,52,female,no
3rd,79,female,no
3rd,46,female,no
3rd,41,female,no
3rd,62,female,no
3rd,46,female,no
3rd,76,female,no
3rd,41,female,no
3rd,52,female,no
3rd,58,female,no
3rd,68,female,no
3rd,69,female,no
3rd,46,female,no
3rd,42,female,no
3rd,57,female,no
3rd,44,female,no
3rd,61,female,no
3rd,62,female,no
3rd,77,female,no
3rd,81,female,no
3rd,66,female,no
3rd,60,female,no
3rd,73,female,no
3rd,62,female,no
3rd,68,female,no
3rd,57,female,no
3rd,64,female,no
3rd,74,female,no
3rd,41,female,no
3rd,46,female,no
3rd,65,female,no
3rd,57,female,no
3rd,67,female,no
3rd,53,female,no
3rd,52,female,no
3rd,43,female,no
3rd,40,female,no
3rd,68,female,no
3rd,65,female,no
3rd,83,female,no
3rd,71,female,no
3rd,64,female,no
3rd,51,female,no
3rd,76,female,no
3rd,81,female,no
3rd,40,female,no
3rd,80,female,no
3rd,63,female,no
3rd,51,female,no
3rd,51,female,no
3rd,69,female,no
3rd,68,female,no
3rd,77,female,no
3rd,83,female,no
3rd,66,female,no
3rd,69,female,no
3rd,38,female,no
3rd,80,female,no
3rd,41,female,no
3rd,50,female,no
3rd,65,female,no
3rd,62,female,no
3rd,40,female,no
3rd,65,female,no
3rd,75,female,no
3rd,38,female,no
3rd,72,female,no
3rd,81,female,no
3rd,43,female,no
3rd,61,female,no
3rd,37,female,no
3rd,58,female,no
3rd,82,female,no
3rd,70,female,no
3rd,50,female,no
3rd,57,female,no
3rd,36,female,no
3rd,72,female,no
3rd,77,female,no
3rd,7,male,yes
3rd,4,male,yes
3rd,17,male,yes
3rd,8,male,yes
3rd,11,male,yes
3rd,12,male,yes
3rd,4,male,yes
3rd,11,male,yes
3rd,13,male,yes
3rd,3,male,yes
3rd,6,male,yes
3rd,13,male,yes
3rd,5,male,yes
3rd,4,male,no
3rd,14,male,no
3rd,3,male,no
3rd,5,male,no
3rd,16,male,no
3rd,8,male,no
3rd,4,male,no
3rd,16,male,no
3rd,13,male,no
3rd,3,male,no
3rd,12,male,no
3rd,14,male,no
3rd,10,male,no
3rd,10,male,no
3rd,17,male,no
3rd,15,male,no
3rd,3,male,no
3rd,5,male,no
3rd,15,male,no
3rd,1,male,no
3rd,15,male,no
3rd,4,male,no
3rd,2,male,no
3rd,12,male,no
3rd,6,male,no
3rd,5,male,no
3rd,17,male,no
3rd,7,male,no
3rd,10,male,no
3rd,10,male,no
3rd,15,male,no
3rd,11,male,no
3rd,16,male,no
3rd,5,male,no
3rd,8,male,no
3rd,9,female,yes
3rd,7,female,yes
3rd,5,female,yes
3rd,16,female,yes
3rd,8,female,yes
3rd,14,female,yes
3rd,17,female,yes
3rd,8,female,yes
3rd,2,female,yes
3rd,6,female,yes
3rd,1,female,yes
3rd,14,female,yes
3rd,12,female,yes
3rd,11,female,yes
3rd,8,female,no
3rd,2,female,no
3rd,8,female,no
3rd,8,female,no
3rd,9,female,no
3rd,10,female,no
3rd,10,female,no
3rd,5,female,no
3rd,2,female,no
3rd,7,female,no
3rd,3,female,no
3rd,5,female,no
3rd,13,female,no
3rd,1,female,no
3rd,8,female,no
3rd,17,female,no
3rd,10,female,no
crew,49,male,yes
crew,43,male,yes
crew,50,male,yes
crew,75,male,yes
crew,53,male,yes
crew,39,male,yes
crew,56,male,yes
crew,83,male,yes
crew,64,male,yes
crew,63,male,yes
crew,81,male,yes
crew,46,male,yes
crew,43,male,yes
crew,69,male,yes
crew,44,male,yes
crew,50,male,yes
crew,72,male,yes
crew,45,male,yes
crew,56,male,yes
crew,37,male,yes
crew,69,male,yes
crew,48,male,yes
crew,52,male,yes
crew,65,male,yes
crew,75,male,yes
crew,60,male,yes
crew,55,male,yes
crew,57,male,yes
crew,83,male,yes
crew,47,male,yes
crew,59,male,yes
crew,80,male,yes
crew,71,male,yes
crew,42,male,yes
crew,78,male,yes
crew,40,male,yes
crew,57,male,yes
crew,56,male,yes
crew,39,male,yes
crew,37,male,yes
crew,51,male,yes
crew,74,male,yes
crew,82,male,yes
crew,61,male,yes
crew,61,male,yes
crew,42,male,yes
crew,52,male,yes
crew,39,male,yes
crew,52,male,yes
crew,55,male,yes
crew,67,male,yes
crew,38,male,yes
crew,36,male,yes
